participant_id,test_id,test_duration,mental,physical,temporal,performance,effort,frustration,mean,mean_pupil_diameter,median_pupil_diameter,blinkrate,fixationrate
29,1,35.188239000039175,30,20,20,0,20,5,15.8,43.10018410384034,43.4026260375977,0.05683717221534654,0.3409416450249519
29,2,25.589134000008926,30,25,40,0,45,5,24.2,44.12500236501648,44.3642158508301,,0.35171316650077455
29,3,61.912028999999166,70,10,35,65,60,25,44.2,46.99394634163165,47.2663764953613,0.35534290113477457,0.25841436541617185
29,4,51.556957000051625,85,25,55,55,75,50,57.5,50.119098281463614,50.1392230987549,0.3685244650878246,0.3104857901425218
30,1,50.4296580000082,35,15,50,50,25,75,41.7,39.98095306561583,40.121341705322294,0.019829601065306398,0.2775684394061183
30,2,21.687841999926604,20,45,50,50,25,15,34.2,41.66951835346564,42.2895251653322,0.04610878297635072,0.32275938990713204
30,3,57.6400249999715,50,5,25,45,50,45,36.7,42.02770538562886,42.290300369262695,0.13879244500681523,0.2602360127246232
30,4,86.32394100003876,75,5,30,90,70,45,52.5,46.540152289712864,46.92775344848635,0.15059553409400253,0.2548599770326578
31,1,41.64136999996845,30,10,15,25,50,10,23.3,32.928453534178324,32.85029983520505,0.12007289865832436,0.31219792224395243
31,2,19.435869999986608,60,10,75,30,60,20,42.5,33.61975187091335,33.624721527099595,,0.20584527506112946
31,3,44.835928999993484,50,10,30,50,55,45,40,35.750811898434534,35.70405197143555,0.22303541429913168,0.26766066618674145
31,4,33.434287999989465,75,10,90,75,85,40,62.5,35.05409034422274,34.815071105957,0.2990941514891285,0.3294777991041919
32,1,75.81597900006454,15,10,10,0,95,5,22.5,38.49748443353263,38.457202911377,0.02637966331607084,0.10552479134168814
32,2,31.375676000025123,20,30,25,5,95,5,30,40.82551031376949,40.89111328125,,0.22310656707468565
32,3,88.67594099999405,80,70,50,60,95,85,73.3,41.39709198619918,41.2886562347412,0.1691552390743844,0.3270129141795842
32,4,91.70757500000764,95,60,95,80,75,100,84.2,45.2621649726815,45.430097579956055,0.2726056162754049,0.261701969489694
33,1,27.012087999959476,25,10,5,0,30,5,12.5,30.919966828682373,30.99506850619175,,0.3331353583921248
33,2,25.192940999986604,35,30,60,45,50,55,45.8,34.01267790386806,34.578556060791,0.07938731726482683,0.2777980118359319
