participant_id,test_id,test_duration,mental,physical,temporal,performance,effort,frustration,mean,mean_pupil_diameter,median_pupil_diameter,blinkrate,fixationrate,blinkrate_rel,fixationrate_rel,mean_pupil_diameter_rel,median_pupil_diameter_rel,blinkrate_var,blinkrate_std,fixationrate_var,fixationrate_std,mean_pupil_diameter_var,mean_pupil_diameter_std,median_pupil_diameter_var,median_pupil_diameter_std
12,3,77.95578299999761,70,10,10,25,60,10,30.8,30.540264374064364,30.5581689429224,0.2052445551088941,0.2180677773636656,0.2052445551088941,-0.1616701174149254,2.3742339145752567,2.5001168799341507,0.022367541536884056,0.1495578200459075,0.003406405821342815,0.058364422564973734,0.12158990285803384,0.34869743741248493,0.12650349746434056,0.35567330159057564
12,4,68.71444599999813,75,20,75,45,70,10,49.2,30.431605536102413,30.559366226196303,0.2910596121229085,0.1164109356083888,0.2910596121229085,-0.2633269591702022,2.265575076613306,2.501314163208054,0.022367541536884056,0.1495578200459075,0.003406405821342815,0.058364422564973734,0.12158990285803384,0.34869743741248493,0.12650349746434056,0.35567330159057564
13,1,58.25827999999456,15,15,5,15,15,5,11.7,28.96173647124639,28.96120166778565,0.0343298840954485,0.2747260223913609,0.0,0.0,0.0,0.0,0.03145472750533046,0.17735480682893953,0.0073193895682194445,0.08555343107216358,0.22257866934478668,0.4717824385718344,0.2702417274370479,0.5198477925672551
13,2,27.47623499999463,15,15,15,30,30,5,18.3,31.85915629362456,31.8700666427612,0.0,0.4003271837678749,-0.0343298840954485,0.125601161376514,2.897419822378172,2.908864974975547,0.03145472750533046,0.17735480682893953,0.0073193895682194445,0.08555343107216358,0.22257866934478668,0.4717824385718344,0.2702417274370479,0.5198477925672551
13,3,108.9317560000054,60,35,20,40,60,5,36.7,31.100367987532117,31.06032573594905,0.3488422604699231,0.2386728876816258,0.3145123763744746,-0.03605313470973509,2.1386315162857272,2.0991240681633982,0.03145472750533046,0.17735480682893953,0.0073193895682194445,0.08555343107216358,0.22257866934478668,0.4717824385718344,0.2702417274370479,0.5198477925672551
13,4,43.46640100001241,70,25,50,50,65,50,51.7,30.994050046908253,30.9004263865262,0.2300627558282809,0.368070449788281,0.19573287173283238,0.09334442739692012,2.0323135756618633,1.9392247187405474,0.03145472750533046,0.17735480682893953,0.0073193895682194445,0.08555343107216358,0.22257866934478668,0.4717824385718344,0.2702417274370479,0.5198477925672551
14,1,62.81754399999045,15,15,50,0,15,5,16.7,27.124070760488696,27.0946865081787,0.0159191196650437,0.2228536178131525,0.0,0.0,0.0,0.0,0.011314978281506407,0.1063718867065279,0.001257323982295249,0.03545876453424807,5.6201679617917595,2.3706893431640848,5.6641970190058695,2.379957356551976
14,2,42.99081200000364,5,5,5,0,10,5,5.0,27.98191256304219,27.8882713317871,0.023260784188024,0.2325649596375243,0.007341664522980299,0.009711341824371805,0.8578418025534944,0.7935848236083984,0.011314978281506407,0.1063718867065279,0.001257323982295249,0.03545876453424807,5.6201679617917595,2.3706893431640848,5.6641970190058695,2.379957356551976
14,3,129.81186000000162,60,25,15,65,50,30,40.8,31.653488549448845,31.519875176324348,0.0539241945997839,0.1694780997029324,0.0380050749347402,-0.053375518110220094,4.529417788960149,4.425188668145648,0.011314978281506407,0.1063718867065279,0.001257323982295249,0.03545876453424807,5.6201679617917595,2.3706893431640848,5.6641970190058695,2.379957356551976
14,4,122.22160299999814,80,10,25,35,50,35,39.2,32.41580586923935,32.3688774108887,0.2209102101205497,0.2290751929707785,0.204991090455506,0.0062215751576260026,5.291735108750654,5.27419090271,0.011314978281506407,0.1063718867065279,0.001257323982295249,0.03545876453424807,5.6201679617917595,2.3706893431640848,5.6641970190058695,2.379957356551976
15,1,69.7965489999624,95,100,5,95,95,5,65.8,26.14003504259956,26.098268508911147,0.4298206778105342,0.2865836782431028,0.0,0.0,0.0,0.0,0.043836045135790425,0.20937059281520512,0.00300777211394948,0.05484315922655696,2.7648959157028927,1.6627976171810244,3.0890328560866953,1.7575644671211055
15,2,30.05182100005913,100,5,100,0,90,30,54.2,26.501032558372707,26.4060573577881,0.2662068298617996,0.232890565671769,-0.16361384794873457,-0.05369311257133383,0.3609975157731462,0.3077888488769531,0.043836045135790425,0.20937059281520512,0.00300777211394948,0.05484315922655696,2.7648959157028927,1.6627976171810244,3.0890328560866953,1.7575644671211055
